,money,recent,frequency,cluster
1047,21015.5,81,5,0
1048,1498.0,173,1,1
1049,18054.0,21,14,0
1050,2659.0,150,2,1
1051,2177.0,145,1,1
1052,2190.0,154,1,1
1053,41940.0,26,9,0
1054,13144.5,54,7,0
1055,10349.5,55,5,0
1056,2221.5,121,2,1
1057,978.0,192,1,1
1058,2829.0,148,2,1
1059,5925.0,73,5,0
1060,3396.0,12,2,0
1061,8125.5,19,7,0
1062,3334.0,104,1,1
1063,4332.5,121,5,0
1064,6641.0,7,4,0
1065,1988.0,181,1,1
1066,2422.5,99,2,0
1067,1838.0,118,1,1
1068,7817.0,77,2,0
1069,7565.5,61,3,0
1070,10365.0,38,3,0
1071,1384.0,156,1,1
1072,15974.0,51,11,0
1073,2214.0,151,1,1
1074,11555.0,61,5,0
1075,7747.5,55,3,0
