会员编号,money,recent,frequency
1037144496,2329.0,67,2
1037144683,2255.0,9,1
1037144950,1041.0,113,1
1037145193,1027.0,56,1
1037146011,1265.0,132,1
1037151298,2332.0,147,1
1037156196,573.0,76,1
1037157072,2224.0,140,1
1037157252,4601.0,2,4
1037157768,1552.0,129,1
1037160424,3525.0,155,1
1037162427,749.0,147,1
1037163892,1726.5,82,2
1037165688,793.0,62,1
1037167285,2534.5,104,1
1037167699,1322.0,181,1
1037168383,21413.0,6,11
1037169525,547.0,93,1
1037171144,1642.0,48,1
1037172032,1150.5,63,2
1037172127,855.5,130,1
1037172745,826.5,98,1
1037176278,6.0,15,1
1037176928,1060.5,20,1
1037177955,3679.0,12,3
1037178077,750.5,78,1
1037180420,2340.0,96,2
1037180635,2178.0,44,3
1037186952,3074.0,177,1
1037213675,1159.0,56,1
1037233536,1652.0,115,1
1037233567,577.0,77,1
1037252642,1089.0,184,1
1037254348,1001.0,41,1
1037254582,2086.0,71,1
1037254811,1527.5,168,1
1037256534,2223.5,72,2
1037259901,450.5,1,1
1037260917,495.5,111,1
1037263890,1087.0,176,1
1037265795,1516.0,63,2
1037266952,685.0,186,1
1037268622,2756.0,150,2
1037269222,2059.5,19,4
1037271659,1383.5,2,1
1037273217,3056.0,117,2
1037287216,1346.0,13,2
1037289156,13676.5,130,10
1037291056,831.0,83,1
1037291354,2092.0,91,1
1037292994,3584.0,171,2
1037294912,665.0,166,1
1037297022,980.5,82,1
1037300025,489.5,9,1
1037301079,3220.0,42,3
1037303026,2506.0,94,3
1037307521,4945.0,86,2
1037307769,1945.5,110,1
1037308679,1309.5,76,2
1037310903,1722.0,84,1
1037311254,516.5,162,1
1037311989,1325.0,171,1
1037312428,496.0,42,1
1037313162,749.5,131,1
1037313457,811.0,74,1
1037313710,1009.0,147,1
1037316954,3121.5,44,3
1037317336,3635.5,160,2
1037318482,850.0,13,1
1037320556,2618.0,160,1
1037323436,675.0,10,1
1037327144,562.0,28,1
1037327171,548.0,134,1
1037327575,5982.0,16,6
1037327862,1451.0,185,1
1037329150,2410.0,149,1
1037330156,2334.5,139,2
1037330243,1753.0,63,1
1037330764,1022.0,39,2
1037331075,2463.0,10,2
1037332077,609.0,132,1
1037334049,3442.0,43,2
1037335179,877.0,163,1
1037336942,1159.0,105,1
1037339638,1159.5,94,2
1037408702,1709.0,110,1
1037423141,830.0,173,1
1037438222,5885.0,145,2
1037439232,938.5,138,2
1037456217,421.5,85,1
1037456418,2871.0,14,1
1037456521,1853.0,72,2
1037458269,1218.0,147,1
1037459315,840.5,183,1
1037460102,897.5,187,1
1037461601,1446.0,161,1
1037465556,908.0,35,1
1037475657,875.0,84,1
1037547946,1628.5,27,1
1037550083,30.0,159,1
1037557237,680.0,52,1
1037557813,1172.0,60,1
1037557840,5010.0,12,9
1037560495,1735.0,131,1
1037562126,21721.0,24,15
1037562368,3103.5,6,3
1037564298,2602.0,7,3
1037567298,1147.0,168,1
1037572241,3380.0,7,2
1037577029,576.0,106,1
1037577070,3624.0,8,2
1037577435,1327.0,160,1
1037580480,1126.5,160,1
1037580558,406.0,108,1
1037584636,713.5,32,1
