money,recent,frequency
3495.0,156,1
12361.0,33,4
572.5,53,1
5887.0,108,2
1105.0,86,1
2969.0,144,1
933.0,128,1
518.0,44,1
560.0,62,1
3330.28,69,1
4180.120000000001,72,3
907.5,105,1
5146.26,85,2
3277.5,17,2
1620.0,163,1
1117.0,101,1
978.5,25,1
1714.0,152,1
1308.0,2,1
543.5,17,1
1825.0,137,1
926.0,147,1
809.0,129,1
940.5,90,1
1846.5,17,2
970.0,141,1
948.0,151,1
1288.0,19,1
2381.5,117,2
1122.0,37,1
1751.0,151,1
819.0,79,2
526.0,94,1
1757.5,32,1
1482.0,146,1
1787.0,192,1
693.5,182,1
1680.0,56,1
1443.0,5,1
1966.5,173,1
3121.5,129,3
1401.0,149,1
1326.0,75,2
11349.5,51,6
9076.0,16,6
487.0,41,1
552.5,149,1
3443.5,120,1
3039.0,149,1
9979.5,74,7
1574.5,156,1
3245.5,44,4
5428.0,39,4
957.5,136,1
2405.5,45,2
2977.0,10,2
387.0,39,1
2937.0,114,3
1790.0,188,1
3635.5,5,2
2309.0,150,1
479.0,152,1
1516.0,148,1
891.0,1,2
1142.5,46,1
1178.5,179,1
1221.5,26,2
1535.0,147,1
960.0,107,2
893.0,176,1
1196.0,39,1
754.0,182,1
1600.5,155,1
2743.5,33,2
1282.0,143,1
1337.0,152,1
13931.5,35,3
2949.0,19,1
1123.0,167,1
2988.5,109,3
1019.0,132,1
1885.5,174,1
1194.0,62,1
1579.0,166,1
1233.0,73,1
1245.5,52,2
1971.0,15,2
1065.0,72,1
4347.0,134,1
559.5,75,1
4574.0,15,2
640.0,80,1
681.0,45,1
1509.5,56,1
1118.0,4,2
1537.5,160,1
1518.0,156,1
1674.0,75,1
2994.5,141,2
